Title,Author,Subtitle,ISBN,Status,Rating,Pages,Publisher,Series,Country,Language,Ownership,Copies,Genres,Themes,Moods,Tropes,Tags,Seasonal,Collections,One-line recommendation,Confidence,Why I recommend it,Personal notes,Finished,Added,Times recommended,Last recommended
The Brahmin,Ravi Shankar Etteth,,,read,5,252,Westland,,India,English,,,Historical Fiction; Mystery; Thriller,power; loyalty; deception; identity; morality; good vs evil; self-discovery,suspenseful; atmospheric; intriguing; dark,murder mystery; spy thriller,Indian author; historical mystery; mythological fiction; thrilling plot; strong female character; book club pick; Indian history; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Dark & Atmospheric; Page-Turners,"Dive into this gripping historical thriller that masterfully weaves together mystery, mythology, and suspense, set against the rich backdrop of ancient India.",,,"'When you kill to defend the innocent, you are doing the right thing. When you attack evil, you fight for the light.’ <br/><br/>‘But who decides what is innocent or evil?’ asked Ashoka. <br/><br/>‘Your true soul. Every person in this world is constantly at war, with themselves the most. The day you win over yourself, you’ll become a warrior of the light.’<br/><br/>✨️<br/><br/>It feels so good to read the books filled with mystery, thrill and conspiracy interweaved with secrets from history.<br/>Plot of Novel is set in the times when Ashoka- the emperor used to rule Magadh. And the story is interwined with the time when Ravan rules the Lanka.<br/><br/>Story starts with the murder of a concubine in the harem of Ashoka, and the SpyMaster- the Brahim is given 7 days of time to solve the Case. The Spy Master known for his Extraordinary capabilities and his loyality for kingdom along with his Assitant set on the quest to unravel the truth.<br/>✨️<br/>The Brahim as the title says is the main Character of the Story, being descendent of the king of Lanka, preserving a secret from getting in to the hands of Evil( Ravan was Brahmin).<br/>Book takes you to old days- Magadh, Ujjain and Lanka. While the Story wad more about the SpyMaster, i couldn't stop myself from admiring the Queen AsandhiMitra-the chief queen of Ashoka for her confidence & fearlessness.<br/><br/>This was my first read from the Author, and i picked the book because of Cover and title, but i must say i loved the story telling of Author and would surely explore more of his writing.",2023-04-06,2023-04-04,0,
"The Mahabharata: A Modern Rendering, Vol 1",Ramesh Menon,,9780595401871,want-to-read,,732,iUniverse,,India,English,,,Mythology; Historical Fiction,war; duty; family; power; morality; identity; loyalty,epic; philosophical; adventurous,good vs evil; destiny,Indian author; mythological retelling; classic tale; long read; historical epic; cultural heritage; spiritual themes; adventure story; philosophical fiction; level:advanced; gem:classic,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction,Dive into this epic retelling of the Mahabharata for a rich and immersive exploration of Indian mythology and the human condition.,,,,,2022-11-06,0,
The Hidden Hindu,Akshat Gupta,,,read,5,0,,,India,English,,,Mystery; Thriller,identity; culture; secrets; community; belonging; morality; loyalty,suspenseful; intriguing; thought-provoking,whodunit; red herrings; twist ending; unreliable narrator,Indian author; cultural heritage; page-turner; book club pick; diverse voices; contemporary issues; social commentary; psychological insight,Diwali; Navratri,India Bookshelf; Page-Turners,Dive into a gripping narrative that explores the complexities of cultural identity and community secrets.,,,,2023-07-14,2023-07-08,0,
The Hidden Hindu 2,Akshat Gupta,,9789354926716,read,5,250,Penguin eburry press,,India,English,,,Mythology,identity; spirituality; self-discovery; culture; tradition; faith; morality,thought-provoking; reflective; inspirational,mythology retelling; divine politics,Hindu mythology; Indian author; spiritual fiction; cultural heritage; philosophical themes; personal growth; Penguin eburry press; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings,"Dive into the rich world of Hindu mythology with this thought-provoking novel that explores themes of identity, spirituality, and self-discovery.",,,,2023-07-14,2023-07-08,0,
The Hidden Hindu 3,Akshat Gupta,,9789354929618,read,5,249,Ebury Press,The Hidden Hindu,India,English,,,Mythology; Fantasy; Thriller,immortality; ancient secrets; good vs evil; Sanatana Dharma; destiny,mysterious; suspenseful; fast-paced; adventurous,immortals among us; race against time; ancient wisdom,Indian author; mythological fiction; trilogy finale; bestseller; Indian mythology; quick read; level:beginner; gem:popular,weekend binge read; monsoon read,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Page-Turners,"An exhilarating mytho-thriller finale packed with ancient lore, high stakes, and nonstop suspense.",,,,2023-07-14,2023-07-08,0,
The Half Empress,Tripti Pandey,,9789354928819,read,5,384,Ebury Press,,India,English,,,Historical Fiction; Fantasy,power; identity; mythology; self-discovery; politics; loyalty; deception,atmospheric; dark; intriguing,royal court; hidden heir,Indian author; mythological retelling; strong female lead; historical fantasy; royal drama; book club pick; debut author; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Dark & Atmospheric,Dive into a richly imagined world of myth and politics with this stunning debut novel.,,,,2023-07-14,2023-05-12,0,
The Sun Is Also a Star,Nicola Yoon,,9780553496680,read,5,344,Delacorte Press,,United States,English,,,Young Adult; Romance; Contemporary,identity; culture; family; love; fate; immigration; belonging,heartwarming; poignant; hopeful; emotional,instalove; forbidden love,YA romance; diverse characters; immigrant story; book club pick; summer read; contemporary fiction; teen fiction; love story,summer read; Valentine's Day,World Bookshelf; Heartbreaking Reads; Comfort Reads,"Read this heartwarming novel for a beautifully written story about love, identity, and the complexities of the human experience.",,,,2023-08-01,2023-07-22,0,
The Protected Rakshasa KAAL: Book 2 of KAVAACH Trilogy,Pranay Bhalerao,,,read,5,372,PB_Productions,KAVAACH Trilogy,India,English,,,Mythology; Fantasy; Thriller,good vs evil; prophecy; immortality; cult practices; self-discovery; quest; mystery,suspenseful; adventurous; atmospheric; dark,lost city; secret society,Indian author; mythological fiction; book series; fantasy adventure; cult practices; Vedic mythology; Indian cities; level:intermediate,Navratri; Diwali,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; The Epic Project; Epic · Karna; Dark & Atmospheric; Page-Turners,"If you love reading mythological fiction with a mix of adventure, suspense, and fantasy, then this book is a must-read for you.",,,"I was waiting so eagerly for this book after reading the first book of the Series and finally it's here. And it lived up to my expectations of thrill I felt while reading the first book.<br/><br/>The book Starts with the City of Mahakaleshwar - Ujjain where Aghori is performing Sav Sadhna. The narration of that particular scene is enough to send chills. <br/>And the story turns again in two timeline narrations- one many centuries earlier and the other in current time. <br/>✨<br/>While the past timeline narrates the Story of Aghori and a boy- Kaal, the current story timeline takes you to many cities of India starting from Shivgarh where Rudra meets Tanya and starts his Quest to complete the prophecy. While in Banaras Shaurya also sets his plan into motion for getting to the secret of immortality. <br/><br/>The book has narration of Cult practices, suspense, quest, a mystery to solve, Vedic Mantras, scriptures, taking you to the lost city of Dwarka, banaras, Ujjain, kurukshetra and many more. This is again a fight of Good to overcome the Evil powers and Save the World. <br/>✨<br/>Keeping the concept of Narayana and Nara at the centre of Story and Karna's protective Kavach mentioned in the Tales of Mahabharat, this is yet another Mythological fictional Story that is gonna give you that adrenaline rush if you also love reading this Genre.",2023-08-19,2023-08-19,0,
"The Mists of Brahma (The Pataala Prophecy, #2)",Christopher C. Doyle,,,read,5,469,Westland,The Pataala Prophecy,India,English,,,Mythology; Fantasy; Adventure,mythology; prophecy; adventure; self-discovery; good vs evil; friendship; loyalty,epic; adventurous; mysterious; fast-paced,chosen one; quest,Indian author; mythological fiction; fantasy adventure; long read; book series; Westland publisher; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings,Dive into the mystical world of Indian mythology with this gripping fantasy adventure that will keep you on the edge of your seat.,,,,2023-08-25,2022-01-03,0,
"Son of Bhrigu (The Pataala Prophecy, #1)",Christopher C. Doyle,,,read,5,357,Westland,The Pataala Prophecy,India,English,,,Mythology; Fantasy,identity; mythology; prophecy; self-discovery; good vs evil; destiny; power,adventurous; mysterious; atmospheric,chosen one; quest,Indian author; mythological fiction; fantasy adventure; book series; Indian mythology; young adult fiction; Westland publisher; over 300 pages; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Dark & Atmospheric,Dive into a captivating world of Indian mythology and fantasy with this thrilling adventure.,,,,2023-08-25,2022-01-03,0,
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,,9780143442295,read,5,208,Penguin Ananda,,India,English,,,Self-Help; Personal Development; Spirituality,balance; purpose; mindfulness; self-awareness; personal growth; happiness; fulfillment,inspirational; reflective; uplifting,,self-help book; personal development; motivational read; spiritual growth; Indian author; Penguin Ananda; under 300 pages,New Year's resolutions; Mental Health Awareness Month,India Bookshelf; Comfort Reads,Read this book to discover a holistic approach to achieving happiness and fulfillment in life.,,,,2023-09-30,2023-04-04,0,
The Legend of Bahirji-Naik: Siege of Panhala (Book II),Shreyas Bhave,,9789355590879,read,5,306,Leadstart,The Legend of Bahirji-Naik,India,English,,,Historical Fiction,war; strategy; espionage; leadership; loyalty; deception,gripping; adventurous; historical,spy thriller; battle tactics,Indian author; historical fiction; war story; spy novel; book series; Indian history; Shivaji Maharaj,Independence Day,India Bookshelf; Indian Historical Fiction,"Pick this book to embark on an adventurous journey through Indian history, filled with gripping war campaigns and clever espionage tactics.",,,"For a person like me who loves to read historical fiction, this book was such a great experience. Taking us back to the Times of Great Shivaji and Mugal Emperor Aurangzeb this book is all about war campaigns, war tactics and the role of Guptchars(spies) shaping the course of War.<br/><br/>Bahirji-Naik are said to be the chief spies of Shivaji who led an army of well trained spies working like shadows and achieving the great feats. In those Times spies were the eyes and ears of the king. <br/>✨<br/>The book covers the War Campaign led by Mirza Raje jaiSingh under the leadership of Mughal king Aurangjeb for conquering the Deccan and Great Shivaji Maharaj. But the Campaign failed miserably because of internal conflicts of the Mughal Army and the efficient  strategy and plotting of Shivaji and his men.<br/><br/>This is the second part of the book where the Mughal Army tried to capture the Panhala fort. The Main Character for me in this part was Shashidhwaj-a spy trained under bahirji-Naik to infiltrate Mughal Camp and spy on Mughal Activities.<br/>✨<br/>I am eagerly waiting for the next part of the book. The book is a smooth read with great Story Telling.Author did a great job at mixing facts with fictions and creating an amazing storyline.<br/><br/>So I will definitely say pick this book and get on your journey to this Adventure.<br/><br/>Happy Reading BiblioPhiles ❤️",2023-10-06,2023-10-05,0,
Samsara: Enter the Valley of the Gods,Saksham Garg,,9780143458289,read,5,298,Penguin Random House India,,India,English,,,Mythology; Fiction,spirituality; self-discovery; mystery; suspense; preservation of tradition,atmospheric; suspenseful; intriguing,hidden world,Indian author; mythological fiction; Himalayan setting; Vedic traditions; spiritual fiction; under 300 pages; Penguin Random House India; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Dark & Atmospheric,"Dive into a captivating world of Indian mythology and spirituality with 'Samsara: Enter the Valley of the Gods', a thrilling tale of self-discovery and suspense.",,,"was waiting to get my hands on this beauty for so long and finally here i am. I couldn't resist completing the book in 2 Days, obviously sacrificing my Beauty Sleep but all worth it.<br/>✨<br/><br/>The book is mainly based on the belief that there is a place deep in Himalayan valley hidden from the eyes of this world and only few know about it, and common can't get access to it. The valley preserves the old Vedic and spiritual way of living.<br/>✨<br/><br/>Initially the story might not make sense but slowly as the suspense builds up you can't put it down. And since I have finished it now I can't wait for the second part of the book. This is totally worth it if you r someone like me who loves mythological fiction to the core.",2023-10-23,2023-10-23,0,
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,,9780735243347,read,,399,Knopf,,United States,English,,,Literary Fiction,friendship; love; grief; identity; technology; art; human connection,contemplative; emotional; thought-provoking,character-driven; interiority,book club pick; literary fiction; gaming culture; friendship story; love story; technology and society; level:intermediate,,World Bookshelf; Heartbreaking Reads,Read this for a poignant exploration of how our connections with others shape us across a lifetime.,,,,2023-11-14,2023-10-29,0,
"The 4th Traitor (Unit 22, #4)",Mainak Dhar,,,read,5,278,,Unit 22,India,English,,,Thriller; Military Fiction,patriotism; sacrifice; brotherhood; national security; courage; loyalty; duty,intense; thrilling; adventurous; emotional,rescue mission; covert operation,Indian author; military fiction; action-packed; quick read; under 300 pages; Male protagonist; level:beginner,Independence Day; Republic Day,India Bookshelf; Civilizations Through Books; Civilization · China; Around the World in 52 Books; Heartbreaking Reads; Dark & Atmospheric; Page-Turners,"For a gripping and intense military thriller that showcases the bravery and sacrifice of soldiers, pick up The 4th Traitor by Mainak Dhar.",,,"<br/>The book is a fiction Thriller with Military covert Operation in Storyline. <br/>✨<br/>The book is based on one of the military operations by unit 22 of the Indian military which officially doesn't exist but completes the operations that are never talked about in public.<br/>The Major part of Story is set in Male City of Maldives where the President of Maldives is rescued from the Chinese Navy forces Attack.<br/><br/>The Male Protagonist of the Book Major Aditya Sen leads the Unit 22 who was in Maldives with his boys to train the Maldives Military for combat. <br/>You need to read this thrilling adventure of Major Sen how he rescued the President, and avenged the sacrifice of His brothers. Loved the way the team mitigated risk and still managed to keep their spirits High.<br/>✨<br/>Loved the Book to the core. Though it's a Fiction but it gives a glimpse of the risk our Soldiers take to keep the nation safe. <br/>Kudos to the author for the amazing Storyline and Thrilling Narration. <br/>Definetly worth reading❤️",,2023-11-15,0,
The Curse of Anuganga,Harini Srinivasan,,9788193642498,read,4,296,TreeShade Books,,India,English,,,Historical Fiction; Mythology,grief; identity; found family; war; mythology; culture; tradition,heartbreaking; hopeful; atmospheric,period setting; social constraints; mythology retelling; divine politics,Indian author; mythological fiction; historical novel; cultural heritage; book club pick; under 300 pages; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Heartbreaking Reads; Comfort Reads; Dark & Atmospheric,Dive into the rich cultural heritage of India with this mesmerizing tale of mythology and historical fiction.,,,,2023-12-02,2023-11-22,0,
Sivakami’s Vow: Paranjyothi's Journey (Book 1),Kalki Krishnamurthy,,9780143460022,read,5,256,Penguin eBury Press,,India,English,,,Historical Fiction; Literary Fiction,identity; culture; tradition; social change; personal growth; family; community,atmospheric; contemplative; emotional,period setting; social constraints; character-driven; interiority,Indian author; classic fiction; translated fiction; historical novel; cultural heritage; Penguin publisher; under 300 pages; level:intermediate; gem:classic,Indian Independence Day; Diwali,India Bookshelf; Indian Historical Fiction; Indian Literary Fiction; Heartbreaking Reads; Dark & Atmospheric,"Dive into the rich cultural heritage of India through this historical fiction novel that explores themes of identity, tradition, and social change.",,,,2023-12-05,2023-12-02,0,
"Sivakamiyin Sabadham, Volume 2: The Siege of Kanchi",Kalki Krishnamurthy,,9789350873519,read,5,251,Self Published - www.pothi.com,,India,English,,,Historical Fiction; Mythology,war; identity; power struggle; loyalty; duty; morality; politics,atmospheric; intense; emotional,period setting; social constraints; mythology retelling; divine politics,Indian author; historical epic; mythological fiction; self-published; under 300 pages; classic literature; Tamil literature; Indian history; level:intermediate; gem:classic,Diwali; Navaratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; States Through Stories; Tamil Nadu Stories; Heartbreaking Reads; Dark & Atmospheric,"Dive into the captivating world of 7th century India with this mesmerizing historical epic that explores the complexities of war, power, and human relationships.",,,,2023-12-05,2023-12-02,0,
"Sivakamiyin Sabadham, Volume 4: Shattered Dream",Kalki Krishnamurthy,,9789350874110,read,5,249,Self Published - www.pothi.com,,India,English,,,Historical Fiction; Mythology,grief; identity; war; found family; loyalty; duty; power struggle,heartbreaking; atmospheric; dark,period setting; social constraints; mythology retelling; divine politics,Indian author; mythological fiction; historical epic; self-published; under 300 pages; classic literature; Indian literature; Tamil literature; level:intermediate; gem:classic,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; States Through Stories; Tamil Nadu Stories; Heartbreaking Reads; Dark & Atmospheric,Dive into the captivating world of ancient India with this mesmerizing historical epic that explores the complexities of human nature and the consequences of war.,,,,2023-12-09,2023-12-02,0,
Sivakami's Vow: The Bikshu's Love: Book 3,Kalki Krishnamurthy,,9780143460046,read,5,292,Ebury Press,,India,English,,,Historical Fiction; Literary Fiction,love; duty; spirituality; social hierarchy; personal growth; cultural heritage; morality,contemplative; emotional; inspirational,period setting; social constraints; character-driven; interiority,Indian author; classic literature; translated fiction; historical novel; spiritual themes; cultural exploration; love story; self-discovery; level:intermediate; gem:classic,Diwali; Navratri,India Bookshelf; Indian Historical Fiction; Indian Literary Fiction; Heartbreaking Reads,A beautifully written historical novel that explores the complexities of human relationships and spiritual growth.,,,,2023-12-09,2023-12-02,0,
None of This Is True,Lisa Jewell,,9781982179007,read,5,390,Atria Books,,United Kingdom,English,,,Psychological Thriller; Mystery; Domestic Fiction,deception; family secrets; trauma; relationships; truth; identity; grief,suspenseful; dark; emotional; twisty,unreliable narrator; missing person,book club pick; psychological thriller; mystery lover; domestic drama; summer read; page turner; Atria Books; British author,summer read; Halloween,World Bookshelf; Heartbreaking Reads; Dark & Atmospheric; Page-Turners,"If you're a fan of suspenseful stories with unexpected twists, you'll love this gripping thriller.",,,,2023-12-19,2023-12-19,0,
Valmiki's Women,Anand Neelakantan,,9789390679867,read,5,234,Westland,,India,English,,,Mythology; Historical Fiction,identity; grief; war; found family; morality; duty; loyalty,atmospheric; dark; thought-provoking,retelling; mythological fiction,Indian author; mythology retelling; book club pick; under 300 pages; Indian literature; historical retelling; cultural fiction; fictional biography; character study; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Dark & Atmospheric,A thought-provoking and atmospheric retelling of the Ramayana that explores the intricacies of human nature and the power of storytelling.,,,,2023-12-19,2023-12-02,0,
Ramayana Unravelled: Lesser Known Facets of Rishi Vālmiki’s Epic,Ami Ganatra,,9789354353321,want-to-read,,236,Bloomsbury India,,India,English,,,Mythology; Historical Fiction,mythology; culture; history; spirituality; philosophy; Indian heritage; epic storytelling,informative; reflective; enlightening,mythology retelling; divine politics; period setting; social constraints,Indian author; mythology retelling; cultural exploration; historical context; spiritual themes; Indian literature; Bloomsbury India; level:intermediate; gem:hidden,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction,Dive into the rich world of Indian mythology with this insightful exploration of the Ramayana.,,,,,2023-12-22,0,
Mahabharata Unravelled - II: The Dharma Discourses,Ami Ganatra,,9789356409330,want-to-read,,206,Bloomsbury India,,India,English,,,Mythology; Historical Fiction,dharma; morality; war; identity; spirituality; philosophy; ethics,thought-provoking; reflective; inspirational,mythology retelling; divine politics; period setting; social constraints,Indian author; mythological retelling; philosophical fiction; spiritual fiction; Indian mythology; Bloomsbury India; level:beginner,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction,"Dive into the timeless wisdom of the Mahabharata with this insightful and accessible retelling, perfect for fans of philosophical fiction and Indian mythology.",,,,,2023-12-22,0,
Mahabharata Unravelled: Lesser-Known Facets of a Well-Known History,Ami Ganatra,,9789354351273,read,5,408,‎Bloomsbury India,,India,English,,,Mythology; Historical Non-Fiction,mythology; history; culture; storytelling; knowledge; Indian heritage,informative; engaging; cultural,mythology retelling; divine politics,Indian author; mythology retelling; Indian culture; historical non-fiction; storytelling; TRS podcast; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings,Dive into the captivating world of Indian mythology with Ami Ganatra's engaging storytelling in Mahabharata Unravelled.,,,I picked her book after watching her Poadcast on TRS! And that book is just amazing! She has a great knowledge with a lovely story telling skill,2023-12-24,2023-12-22,0,
"Below Zero (The STEMinist Novellas, #3)",Ali Hazelwood,,9780593437834,read,4,112,Berkley,The STEMinist Novellas,United States,English,,,Romance; Fiction,love; relationships; identity; career; balance,sweet; cute; lovely; heartwarming,office romance,romance author; STEM theme; short read; cute romance; funny moments; strong female lead; quick read; office setting; level:beginner,Valentine's Day; Summer Read,World Bookshelf; Comfort Reads,"Read this for a lovely, sweet, and cute romantic fiction that will leave you feeling heartwarming and uplifted.",,,A sweet cute Lovely romantic fiction!,2023-12-25,2023-12-25,0,
"Love, Theoretically",Ali Hazelwood,,9781408725795,read,5,389,Sphere,,United States,English,,,Romance; Contemporary,love; identity; career; family; self-discovery; relationships; science,witty; heartwarming; humorous; emotional,enemies-to-lovers; forced proximity,romance novel; academic setting; strong female lead; STEM field; contemporary romance; funny; emotional journey; character-driven; slow burn,Valentine's Day; Summer Read,World Bookshelf; Heartbreaking Reads; Comfort Reads,"A fun, witty, and emotional romance that will capture your heart and make you laugh.",,,,2023-12-29,2023-12-27,0,
Check & Mate,Ali Hazelwood,,9780593619919,read,5,353,G.P. Putnam's Sons Books for Young Readers,,United States,English,,,Romance; Contemporary,love; identity; career; family; self-discovery; friendship; growth,witty; heartwarming; emotional; funny,enemies-to-lovers; forced proximity,new adult romance; academic setting; strong female lead; slow burn; friends-to-lovers; romcom; summer read; beach read; book club pick,summer read; back to school,World Bookshelf; Heartbreaking Reads; Comfort Reads,"Dive into this charming romance for a witty, emotional, and fun ride with lovable characters and a captivating storyline.",,,,2024-01-02,2023-12-31,0,
Love on the Brain,Ali Hazelwood,,9781408725788,read,5,368,Sphere,,United States,English,,,Romance; Contemporary Fiction,love; identity; empowerment; women in STEM; second chance romance,heartwarming; romantic; humorous; uplifting,forced proximity; enemies-to-lovers,NASA; women in STEM; strong female lead; contemporary romance; office romance; second chance romance; book club pick,Valentine's Day; Summer read,World Bookshelf; Comfort Reads,"A delightful and accessible contemporary romance that seamlessly weaves romance with the world of women in STEM, perfect for fans of heartwarming love stories.",,,"This is the Story of Bee and Levi working on a project of NASA. While Bee thinks Levi despises him, the story is entirely different from Levi's Side. They Share a past but when fate brings them together for the project with NASA, both find it difficult to work together, obviously for different reasons.<br/>But Love finds its way slowly in their hearts.<br/><br/>""Love on the Brain"" by Ali Hazelwood seamlessly weaves romance with the world of women in STEM, delivering a charming contemporary love story. Hazelwood's writing is not only easy to read but also a powerhouse of cute romantic narratives. Her portrayal of strong, intelligent women adds an empowering touch to the genre, making this book a delightful and accessible read for all.<br/><br/>When it comes to Contemporary Romance, I think Ali Hazelwood is the one author I will Strongly recommend. Her Stories are the kind which makes you smile throughout the reading with occasional 'Awwww! How sweet'.'",2024-01-02,2023-12-31,0,
The Echo of Old Books,Barbara Davis,,9781542038157,read,5,413,Lake Union Publishing,,United States,English,,,Literary Fiction; Romance,love; betrayal; closure; loss; second chances; forgiveness; memory,emotional; reflective; gripping; heartwarming,second chance romance; forbidden love,literary mystery; love story; book club pick; emotional journey; closure story; second chance romance; level:intermediate,Valentine's Day; summer read,World Bookshelf; Heartbreaking Reads; Comfort Reads; Slow Literary,A beautifully written and emotional love story that explores the power of second chances and the enduring nature of true love.,,,"came across this book while randomly checking the Kindle Store and the book of Cover got my attention followed by the Intriguing title of the book. So i Started reading it and I'm glad i came across such a beautiful book.<br/><br/> This is the Story of two Lovers who found their Happily every after in their 60s after 40 years of separation passed in Anger, betrayal, and Hurt. ""The Echo of Old Books"" promises a gripping exploration of love, betrayal, and the enduring power of stories across time.<br/>✨<br/>Davis skillfully crafts a literary mystery that spans decades, drawing readers into a web of broken promises and unforgivable betrayals. The characters of Hemi and Belle, with their conflicting perspectives, add depth to the narrative, leaving readers eager to unravel the mysteries surrounding their tragic love story.<br/><br/>The author's adept storytelling and the exploration of love, loss, and closure make ""The Echo of Old Books"" a captivating and emotionally resonant journey for readers",2024-01-08,2023-12-31,0,
"Me Before You (Me Before You, #1)",Jojo Moyes,,9780670026609,read,5,369,Pamela Dorman Books,Me Before You,United Kingdom,English,,,Romance; Contemporary Fiction; Women's Fiction,love; grief; identity; morality; sacrifice; found family; disability,heartbreaking; emotional; thought-provoking; poignant,forbidden love; socially awkward hero,book club pick; heart-wrenching story; love story; disability awareness; bestseller; contemporary classic; emotional read; thought-provoking novel; gem:classic,Valentine's Day; Mother's Day,World Bookshelf; Heartbreaking Reads,"Read this book for a thought-provoking and emotional love story that will leave you questioning the complexities of life, love, and morality.",,,Beautiful yet Heartbreaking Read,2024-01-16,2024-01-13,0,
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,,9781649374042,read,5,517,Entangled: Red Tower Books,The Empyrean,United States,English,,,Fantasy; Romance,identity; self-discovery; war; loyalty; found family; morality; power,intense; emotional; dark; romantic,forbidden love; warfare,new adult fantasy; romance reader; strong female lead; war fiction; book series starter; long read; fantasy romance; level:advanced,summer read; winter read,World Bookshelf; Heartbreaking Reads; Dark & Atmospheric,"Dive into this captivating fantasy romance series starter for an epic tale of love, war, and self-discovery.",,,,2024-01-28,2024-01-25,0,
The God of Small Things,Arundhati Roy,,9780679457312,read,5,321,Random House,,India,English,,,Literary Fiction; Historical Fiction,family; trauma; social hierarchy; love; identity; grief; morality,heartbreaking; atmospheric; emotional,character-driven; interiority; period setting; social constraints,Indian author; booker prize winner; family drama; social justice; classic literature; translated fiction; award-winning; level:intermediate; gem:classic,summer read; book club pick,India Bookshelf; Indian Historical Fiction; Indian Literary Fiction; Heartbreaking Reads; Dark & Atmospheric,"A powerful and emotional novel about family, love, and social justice, set against the backdrop of India's complex history.",,,,2024-02-15,2024-01-31,0,
Krishna: Maha Vishnu Avatar,Kevin Missal,,9789392099939,read,2,320,S&S India,,India,English,,,Mythology; Historical Fiction,identity; morality; war; spirituality; self-discovery; duty; loyalty,atmospheric; thought-provoking; inspirational,legendary creatures; prophecy,Indian author; mythological fiction; Hindu mythology; Indian culture; spiritual themes; historical retelling; under 400 pages; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Dark & Atmospheric,Dive into the captivating world of Hindu mythology with this engaging retelling of Krishna's story.,,,,2024-02-15,2024-01-21,0,
The Mars Conspiracy,Razi,,9789395106115,read,5,325,TreeShade Books,,India,English,,,Science Fiction; Historical Fiction; Thriller,existence; life beyond Earth; ancient mysteries; legacy; reforms; identity,intriguing; thrilling; poignant; enigmatic,alternate timelines; unexplained phenomena,Indian author; space mission; Mars exploration; ancient Egypt; historical fiction; science fiction; speculative fiction; book club pick; over 300 pages; level:intermediate,summer read; space exploration month,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Civilizations Through Books; Civilization · Greece; Around the World in 52 Books; Civilization · Egypt; Page-Turners,"For a thrilling and poignant exploration of human existence, life beyond Earth, and ancient mysteries, read The Mars Conspiracy by Dr. Razi.",,,"Have you ever pondered the enigma of human existence? Contemplated the potential existence of life beyond our planet? Or questioned the ancient rituals surrounding Egyptian pharaohs and their mysterious burial practices?<br/><br/>If these questions pique your curiosity, then ""The Mars Conspiracy"" by Dr. Razi is a must-read for you. This thrilling narrative delves into the intriguing realms of Martian life, extraterrestrial encounters, enigmatic crop circles, Egyptian mummification, and a forgotten pharaoh whose legacy holds the key to unraveling ancient mysteries.<br/>✨<br/>The story unfolds in two timelines: one set in the present-day town of Jharkhand, India, where a private space center embarks on a groundbreaking Mars mission amidst eerie sightings and unexplained phenomena, and the other in ancient Egypt, exploring the reign of Pharaoh Akhenaten and his revolutionary religious reforms.<br/><br/>What sets this book apart is its seamless intertwining of disparate threads, seamlessly connecting Greek mythology, historical events, and speculative science fiction. The absence of a traditional hero-villain dichotomy adds depth to the narrative, while a touch of romance adds a poignant layer to the plot.<br/>✨<br/>Dr. Razi's meticulous research shines through in his lucid explanations of scientific concepts, bridging the gap between fiction and reality. The fusion of historical facts with speculative fiction creates a compelling narrative that leaves readers enthralled and eager for more.<br/><br/>Throughout my reading journey, I had the privilege of engaging with the author, who generously shared insights into history and science, enriching my experience further. His dedication to separating fact from fiction underscores the credibility of the narrative.<br/>✨<br/>In conclusion, ""The Mars Conspiracy"" is a captivating blend of history, conspiracy theories, and suspenseful thrills, perfect for readers craving a riveting escapade into the unknown. With a sequel in the works, this book promises even more intrigue and excitement on the horizon.<br/><br/>So, do yourself a favor and dive into this captivating tale📚📚",2024-02-26,2024-02-23,0,
