Title,Subtitle,Author,Author Gender,Country,Original Language,Translator,Publication Year,Pages,ISBN,Cover URL,Fiction / Non-fiction,Primary Genre,Secondary Genre,Subgenre,Audience,Series,Series Name,Series Number,Standalone,Themes,Mood / Reading Experience,,Search Tags,Female Author,Female Protagonist,Women Focus,Collections,Recommendation Occasion,Reading Level,Similar Books,One-line Recommendation,Short Description,Instagram Hook,Instagram Post Topic,Best Posting Month,Chapters.Aur.Chai Rating,Read Status,Date Read,Format Read,Owned,Wishlist,Awards,Bestseller,Adaptation,BookTok Popular,Bookstagram Popular
"Kim Jiyoung, Born 1982",,Cho Nam-joo,Female,South Korea,Korean,Jamie Chang,2016,176,,,Fiction,Literary Fiction,Women's Fiction,Contemporary Fiction,Adult,No,,,Yes,Gender; Society; Identity,Emotional; Realistic,Social Commentary,Korean Literature; Feminism,Yes,Yes,Primary,Korean Literature,Feminist Fiction Recommendation,Beginner,Breasts and Eggs; Convenience Store Woman,A modern feminist classic from South Korea.,Cho Nam-joo exposes everyday sexism through one ordinary woman's life.,The book that sparked conversations across Korea.,Korean Feminist Books,March,,,,,Yes,International Bestseller,Film Adaptation,Very High,Very High,,
Jaya: An Illustrated Retelling of the Mahabharata,,Devdutt Pattanaik,Male,India,English,,2010,376,,,Non-fiction,Mythology,Hindu Scriptures,Illustrated Retelling,Adult,No,,,Yes,Mahabharata; Dharma; Karma,Accessible; Informative,Illustrated Mythology,Mahabharata; Devdutt Pattanaik,No,No,Secondary,Mahabharata Retellings,Beginner Mythology Recommendation,Beginner,Mahabharata Unravelled; Mahabharata by Ramesh Menon,One of the easiest and most enjoyable introductions to the Mahabharata.,Devdutt Pattanaik combines storytelling with illustrations and insights.,The Mahabharata made simple.,Best Mahabharata Books for Beginners,July,,,,,Yes,Bestseller,No,Very High,Very High,,
India: A History,,John Keay,Male,United Kingdom,English,,2000,640,,,Non-fiction,Indian History,Cultural History,General History,Adult,No,,,Yes,Civilization; Empire; Culture,Informative; Comprehensive,Historical Survey,Indian History; Civilization,No,No,Secondary,Indian History Essentials,Indian History Recommendation,Intermediate,The Wonder That Was India; Early Indians,A comprehensive history spanning thousands of years.,John Keay offers an engaging overview of India's remarkable past.,India's story is older than you think.,Best Books on Indian History,August,,,,,Yes,Bestseller,No,Moderate,High,,
Ikigai,The Japanese Secret to a Long and Happy Life,Héctor García & Francesc Miralles,Male,Spain,English,,2016,208,,,Non-fiction,Self-help,Personal Development,Lifestyle,Adult,No,,,Yes,Purpose; Happiness; Longevity,Motivational; Reflective,Practical Wisdom,Ikigai; Japanese Philosophy,No,No,Secondary,Personal Development,Self-help Recommendation,Beginner,The Little Book of Hygge; Atomic Habits,A simple guide to discovering purpose and living well.,One of the world's most popular books on happiness and longevity.,Why do Okinawans live so long?,Books That Can Change Your Life,January,,,,,Yes,International Bestseller,No,Extremely High,Extremely High,,
I Who Have Never Known Men,,Jacqueline Harpman,Female,Belgium,French,Ros Schwartz,1995,208,,,Fiction,Dystopian Fiction,Literary Fiction,Speculative Fiction,Adult,No,,,Yes,Isolation; Survival; Humanity,Haunting; Philosophical,Isolated Society,Feminist Dystopian; Literary Fiction,Yes,Yes,Primary,Feminist Dystopian Fiction,Dystopian Recommendation,Intermediate,Never Let Me Go; The Handmaid's Tale,"A haunting exploration of freedom, loneliness and humanity.",Jacqueline Harpman's cult classic continues to gain new readers.,One of the strangest books you'll ever read.,Feminist Dystopian Novels,November,,,,,Yes,Cult Classic,No,Very High,Very High,,
How to Kill Men and Get Away With It,,Katy Brent,Female,United Kingdom,English,,2022,384,,,Fiction,Thriller,Dark Comedy,Psychological Thriller,Adult,No,,,Yes,Revenge; Justice; Feminism,Dark; Fast-paced,Vigilante,Dark Comedy; Feminist Thriller,Yes,Yes,Primary,Dark Comedy Thrillers,Thriller Recommendation,Beginner,Finlay Donovan Is Killing It; Sweetpea,A wickedly funny feminist revenge thriller.,"Katy Brent mixes satire, suspense and dark humour brilliantly.",Revenge has never been this entertaining.,Darkly Funny Thrillers,October,,,,,Yes,Bestseller,TV Rights,Very High,Very High,,
Heart Overruled,,Debanjana Mukherjee,Female,India,English,,2024,320,,,Fiction,Contemporary Romance,Women's Fiction,Romantic Comedy,Adult,No,,,Yes,Love; Family; Second Chances,Warm; Feel-good,Slow Burn,Indian Romance; Contemporary Fiction,Yes,Yes,Primary,Indian Romance,Romance Recommendation,Beginner,You Deserve Each Other; Book Lovers,A heartwarming romance about choosing love over expectations.,Debanjana Mukherjee delivers an emotional contemporary love story.,When the heart refuses to follow logic.,Underrated Indian Romance Novels,February,,,,,Yes,New Release,No,Moderate,Moderate,,
Half the Night Is Gone,,Amitabha Bagchi,Male,India,English,,2018,544,,,Fiction,Literary Fiction,Historical Fiction,Family Saga,Adult,No,,,Yes,Grief; Family; Tradition,Literary; Reflective,Multi-generational Story,Indian Literary Fiction; Family Saga,No,No,Secondary,Indian Literary Fiction,Literary Recommendation,Advanced,The Lives of Others; A Suitable Boy,"A richly layered novel exploring grief, family and tradition.",Amitabha Bagchi creates a moving meditation on memory and modern India.,A modern Indian classic hiding in plain sight.,Indian Literary Fiction Everyone Should Read,August,,,,,Yes,Critically Acclaimed,No,Moderate,High,,
Garuda Purana,,Ernest Wood & S. V. Subrahmanyam (Translators),Male,India,Sanskrit,Ernest Wood & S. V. Subrahmanyam,1911,500,,,Non-fiction,Hindu Scriptures,Mythology,Purana,Adult,No,,,Yes,Afterlife; Dharma; Karma; Moksha,Spiritual; Philosophical,Sacred Scripture,Garuda Purana; Hindu Scriptures; Afterlife,No,No,Secondary,Hindu Scriptures,Sanatan Recommendation,Advanced,Vishnu Purana; Markandeya Purana,"A profound scripture exploring life, death and liberation.","One of Hinduism's essential Puranas explaining karma, the afterlife and dharma.",Ever wondered what Hinduism says about the afterlife?,Essential Hindu Puranas,July,,,,,Yes,Spiritual Classic,No,Moderate,High,,
Foster,,Claire Keegan,Female,Ireland,English,,2010,96,,,Fiction,Literary Fiction,Coming-of-age,Novella,Adult,No,,,Yes,Family; Kindness; Childhood,Quiet; Emotional,Rural Setting,Irish Literature; Novella,Yes,Yes,Primary,Literary Novellas,Short Reads Recommendation,Beginner,Small Things Like These; The Remains of the Day,"A tender novella about love, kindness and belonging.",Claire Keegan delivers extraordinary emotional depth in under 100 pages.,Proof that short books can leave the biggest impact.,Best Literary Novellas,December,,,,,Yes,Critically Acclaimed,Film Adaptation,High,High,,
Em and the Big Hoom,,Jerry Pinto,Male,India,English,,2012,240,,,Fiction,Literary Fiction,Family Drama,Contemporary Fiction,Adult,No,,,Yes,Mental Illness; Family; Love,Emotional; Heartfelt,Dysfunctional Family,Indian Literature; Mental Health,No,No,Secondary,Indian Literary Fiction,Literary Fiction Recommendation,Intermediate,Maybe You Should Talk to Someone; Serious Men,"A moving portrait of family, humour and mental illness.",Jerry Pinto balances heartbreak and warmth with remarkable honesty.,One of India's most emotional family novels.,Books That Talk About Mental Health,May,,,,,Yes,Hindu Literary Prize Winner,No,Moderate,High,,
Eleanor Oliphant Is Completely Fine,,Gail Honeyman,Female,United Kingdom,English,,2017,336,,,Fiction,Contemporary Fiction,Literary Fiction,Women's Fiction,Adult,No,,,Yes,Loneliness; Healing; Friendship,Heartwarming; Emotional,Found Family,Contemporary Fiction; Mental Health,Yes,Yes,Primary,Contemporary Fiction,Feel-good Recommendation,Beginner,The Midnight Library; Remarkably Bright Creatures,"A heartwarming story of loneliness, healing and unexpected friendship.",Gail Honeyman creates an unforgettable heroine finding her place in the world.,She isn't fine... and that's what makes this book beautiful.,Books About Healing,January,,,,,Yes,International Bestseller,Film Rights,Extremely High,Extremely High,,
Early India: From the Origins to AD 1300,,Romila Thapar,Female,India,English,,2002,576,,,Non-fiction,Indian History,Ancient History,Academic History,Adult,No,,,Yes,Ancient India; Civilization; Culture,Informative; Scholarly,Historical Survey,Ancient India; Indian History,Yes,No,Secondary,Indian History Essentials,Indian History Recommendation,Advanced,India: A History; The Wonder That Was India,A definitive history of ancient India by one of its greatest historians.,Romila Thapar presents India's early civilization with depth and clarity.,Want to truly understand ancient India?,Essential Books on Ancient India,August,,,,,Yes,Academic Classic,No,Moderate,High,,
Durga: The Baaghini,,Krishnamurthy Shrikanth,Male,India,English,,2024,360,,,Fiction,Mythological Fiction,Fantasy,Durga Retelling,Adult,Yes,Tattva Verse Saga,1,No,Durga; Shakti; Good vs Evil,Epic; Fast-paced,Divine Heroine,Durga; Indian Fantasy; Mythology,No,Yes,Primary,Indian Mythological Fantasy,Mythology Recommendation,Intermediate,Son of Darkness; The Poppy War,A fierce fantasy inspired by Goddess Durga and Indian mythology.,Krishnamurthy Shrikanth launches an ambitious mythological fantasy saga.,Durga as you've never imagined her before.,Modern Indian Mythological Fantasy,October,,,,,Yes,New Release,No,Moderate,High,,
Draupadi (The Sati Series III),,Koral Das Gupta,Female,India,English,,2019,240,,,Fiction,Mythological Fiction,Historical Fiction,Mythology Retelling,Adult,Yes,The Sati Series,3,No,Draupadi; Mahabharata; Womanhood,Emotional; Reflective,Forgotten Women,Draupadi; Mahabharata; Sati Series,Yes,Yes,Primary,Women of Mahabharata,Mythology Recommendation,Beginner,Song of Draupadi; The Palace of Illusions,A thoughtful reimagining of Draupadi beyond the stereotypes.,Koral Das Gupta explores the emotional journey of Panchali.,Was Draupadi ever truly understood?,Women of the Mahabharata,July,,,,,Yes,Critically Acclaimed,No,Moderate,High,,
Difficult Daughters,,Manju Kapur,Female,India,English,,1998,272,,,Fiction,Historical Fiction,Women's Fiction,Literary Fiction,Adult,No,,,Yes,Family; Partition; Womanhood,Emotional; Literary,Mother-Daughter Relationships,Indian Literature; Partition,Yes,Yes,Primary,Partition Literature,Literary Recommendation,Intermediate,Pinjar; A Woman Is No Man,A compelling coming-of-age story set against India's Partition.,Manju Kapur blends personal choices with historical upheaval.,One woman. One country. Countless expectations.,Women's Voices in Partition Literature,August,,,,,Yes,Commonwealth Writers' Prize Winner,No,Moderate,High,,
Devi Purana,,Ramesh Menon,Male,India,English,,2023,520,,,Non-fiction,Hindu Scriptures,Mythology,Purana Retelling,Adult,No,,,Yes,Goddess; Shakti; Creation,Accessible; Spiritual,Modern Retelling,Devi Purana; Hindu Mythology,No,No,Secondary,Hindu Scriptures,Spiritual Recommendation,Intermediate,Devi Bhagavatam Retold; Mahadevi,A readable introduction to the stories and philosophy of the Goddess.,Ramesh Menon brings the Devi Purana alive for modern readers.,Discover the many forms of the Divine Mother.,Books on Goddess Worship,October,,,,,Yes,Bestseller,No,Moderate,High,,
Devi for Millennials,,Bibek Debroy,Male,India,English,,2021,240,,,Non-fiction,Mythology,Spirituality,Popular Mythology,Adult,No,,,Yes,Devi; Feminine Divine; Hinduism,Accessible; Conversational,Mythology Explained,Devi; Hindu Mythology,No,No,Secondary,Modern Mythology,Beginner Mythology Recommendation,Beginner,Mahagatha; Jaya,A modern introduction to Devi traditions for today's readers.,Bibek Debroy explains mythology in an engaging contemporary style.,Mythology made relevant for modern readers.,Beginner-Friendly Hindu Mythology,October,,,,,Yes,Bestseller,No,Moderate,Moderate,,
Devi Bhagavatam Retold,,Ramesh Menon,Male,India,English,,2024,500,,,Fiction,Mythological Fiction,Retellings,Hindu Mythology,Adult,No,,,Yes,Devi; Shakti; Bhakti,Epic; Accessible,Modern Retelling,Devi Bhagavatam; Goddess,No,No,Secondary,Hindu Mythology,Mythology Recommendation,Beginner,Shiva Purana Retold; Mahagatha,A beautifully retold version of one of Hinduism's most important scriptures.,Ramesh Menon simplifies complex stories without losing their essence.,The Goddess takes centre stage.,Essential Devi Books,October,,,,,Yes,Bestseller,No,High,High,,
Cuckold,,Kiran Nagarkar,Male,India,English,,1997,600,,,Fiction,Historical Fiction,Literary Fiction,Historical Epic,Adult,No,,,Yes,Love; Politics; Mewar,Rich; Literary,Royal Court,Indian Historical Fiction,No,No,Secondary,Indian Historical Fiction,Historical Fiction Recommendation,Advanced,The Persian Boy; Mistress of Rome,"A magnificent historical epic of love, war and royal politics.",Kiran Nagarkar's masterpiece reimagines the life of Maharana Pratap's era.,One of India's greatest historical novels.,Best Indian Historical Fiction,September,,,,,Yes,Sahitya Akademi Award,No,Moderate,High,,
Convenience Store Woman,,Sayaka Murata,Female,Japan,Japanese,Ginny Tapley Takemori,2016,176,,,Fiction,Literary Fiction,Contemporary Fiction,Japanese Fiction,Adult,No,,,Yes,Identity; Society; Work,Quirky; Reflective,Unconventional Heroine,Japanese Literature; Cozy,Yes,Yes,Primary,Japanese Literature,Cozy Literary Recommendation,Beginner,Almond; Days at the Morisaki Bookshop,A wonderfully quirky novel about finding happiness outside society's expectations.,Sayaka Murata's modern classic is both funny and thought-provoking.,"What if being ""normal"" isn't the goal?",Best Japanese Contemporary Fiction,April,,,,,Yes,International Bestseller,No,Extremely High,Extremely High,,
Clear Light of Day,,Anita Desai,Female,India,English,,1980,288,,,Fiction,Literary Fiction,Family Drama,Contemporary Classic,Adult,No,,,Yes,Memory; Family; Partition,Reflective; Slow-paced,Family Relationships,Indian Classics; Literary Fiction,Yes,Yes,Primary,Indian Literary Classics,Classic Recommendation,Advanced,That Long Silence; The Thousand Faces of Night,"A beautifully written meditation on family, memory and time.",Anita Desai's classic remains one of Indian literature's finest novels.,Some families never really leave us.,Indian Literary Classics,January,,,,,Yes,Booker Prize Shortlisted,No,Moderate,High,,
Chronicle of a Corpse Bearer,,Cyrus Mistry,Male,India,English,,2012,592,,,Fiction,Historical Fiction,Literary Fiction,Social Fiction,Adult,No,,,Yes,Caste; Identity; Parsi Community,Dark; Literary,Social Commentary,Indian Literary Fiction; Parsi,No,No,Secondary,Indian Literary Fiction,Literary Recommendation,Advanced,Narcopolis; The Lives of Others,A powerful novel exploring caste and the forgotten Parsi community.,Cyrus Mistry delivers an unforgettable historical and social narrative.,A story about those history forgot.,Hidden Gems of Indian Literature,September,,,,,Yes,Crossword Book Award Winner,No,Low,Moderate,,
Chowringhee,,Shankar,Male,India,Bengali,Arunava Sinha,1962,432,,,Fiction,Literary Fiction,Historical Fiction,Bengali Classic,Adult,No,,,Yes,Kolkata; Society; Class,Atmospheric; Character-driven,Hotel Setting,Bengali Literature; Kolkata,No,No,Secondary,Bengali Classics,Classic Recommendation,Intermediate,City of Djinns; The Great Indian Novel,A timeless portrait of Kolkata through the lives inside a luxury hotel.,Shankar's beloved Bengali classic captures an entire era.,Every hotel room hides a story.,Bengali Classics Everyone Should Read,June,,,,,Yes,Classic Bestseller,Film Adaptation,Moderate,High,,
Buddha: A Story of Enlightenment,,Deepak Chopra,Male,India,English,,2007,336,,,Fiction,Historical Fiction,Spiritual Fiction,Biographical Novel,Adult,No,,,Yes,Buddha; Enlightenment; Spirituality,Reflective; Inspirational,Spiritual Journey,Buddha; Spiritual Fiction,No,No,Secondary,Spiritual Fiction,Spiritual Recommendation,Beginner,Siddhartha; The Prophet,A fictional yet insightful retelling of Buddha's spiritual journey.,Deepak Chopra presents enlightenment in an accessible narrative form.,The journey from prince to Buddha.,Books on Gautama Buddha,May,,,,,Yes,International Bestseller,No,High,High,,
Bhagavad Gita (Translation),,Eknath Easwaran,Male,India,Sanskrit,Eknath Easwaran,1985,320,,,Non-fiction,Hindu Scriptures,Philosophy,Translation,Adult,No,,,Yes,Dharma; Karma; Yoga,Accessible; Spiritual,Translation,Bhagavad Gita; Hindu Philosophy,No,No,Secondary,Hindu Scriptures,Spiritual Recommendation,Beginner,The Holy Geeta; Bhagavad Gita As It Is,One of the most accessible English translations of the Gita.,Eknath Easwaran balances readability with philosophical depth.,Looking for your first Bhagavad Gita? Start here.,Best Bhagavad Gita Translations,July,,,,,Yes,Spiritual Classic,No,High,Very High,,
Bhagavad Gita (Commentary),,Swami Sivananda,Male,India,Sanskrit,Swami Sivananda,1942,700,,,Non-fiction,Hindu Scriptures,Philosophy,Commentary,Adult,No,,,Yes,Karma; Bhakti; Jnana,Scholarly; Spiritual,Commentary,Bhagavad Gita; Sivananda,No,No,Secondary,Hindu Scriptures,Philosophy Recommendation,Advanced,The Yoga Sutras of Patanjali; Bhagavad Gita Translation,A detailed commentary for readers seeking deeper understanding.,Swami Sivananda explains every chapter through Vedantic philosophy.,Ready to go beyond just reading the Gita?,Advanced Bhagavad Gita Study,July,,,,,Yes,Spiritual Classic,No,Moderate,High,,
Beyond the Blinding Sun,,Jayanta Gopal Borpujari,Male,India,English,,2024,320,,,Fiction,Historical Fiction,Literary Fiction,Assam Fiction,Adult,No,,,Yes,Colonial India; Identity; Assam,Literary; Reflective,Historical Drama,Assamese Literature; Indian Fiction,No,No,Secondary,Indian Historical Fiction,Literary Recommendation,Intermediate,The Far Field; Half the Night Is Gone,A thoughtful historical novel rooted in Assam's rich cultural landscape.,Jayanta Gopal Borpujari blends history with compelling storytelling.,Discover a side of India rarely seen in fiction.,Historical Fiction Set in Northeast India,August,,,,,Yes,Critically Acclaimed,No,Low,Moderate,,
Before We Visit the Goddess,,Chitra Banerjee Divakaruni,Female,India,English,,2016,240,,,Fiction,Literary Fiction,Women's Fiction,Family Saga,Adult,No,,,Yes,Mother-Daughter Relationships; Family; Identity,Emotional; Reflective,Multi-generational Story,Indian Literature; Women's Fiction,Yes,Yes,Primary,Indian Literary Fiction,Women's Fiction Recommendation,Intermediate,The Namesake; Ladies Coupe,A moving multigenerational story about mothers and daughters.,"Chitra Banerjee Divakaruni explores love, sacrifice and family across generations.",Three generations. One unforgettable story.,Mother-Daughter Books to Read,May,,,,,Yes,Bestseller,No,Moderate,High,,
Before the Coffee Gets Cold,,Toshikazu Kawaguchi,Male,Japan,Japanese,Geoffrey Trousselot,2015,272,,,Fiction,Magical Realism,Contemporary Fiction,Japanese Fiction,Adult,Yes,Before the Coffee Gets Cold,1,No,Time Travel; Regret; Love; Second Chances,Cozy; Emotional,Café Setting,Japanese Literature; Time Travel; Cozy Fiction,No,Yes,Secondary,Japanese Healing Fiction,Cozy Recommendation,Beginner,Tales from the Café; What You Are Looking For Is in the Library,A comforting novel about second chances and the people we'd revisit.,A magical café allows customers to travel through time—with one condition.,"If you could revisit one moment, would you?",Cozy Japanese Books,December,,,,,Yes,International Bestseller,Film Adaptation,Extremely High,Extremely High,,
Autobiography of a Yogi,,Paramahansa Yogananda,Male,India,English,,1946,544,,,Non-fiction,Spiritual Memoir,Philosophy,Autobiography,Adult,No,,,Yes,Yoga; Spirituality; Self-realization,Inspirational; Spiritual,Personal Journey,Yoga; Spiritual Classics,No,No,Secondary,Spiritual Classics,Spiritual Recommendation,Intermediate,The Prophet; Bhagavad Gita,One of the most influential spiritual autobiographies ever written.,Paramahansa Yogananda shares his extraordinary spiritual journey and teachings.,The book that inspired millions.,Spiritual Books Everyone Should Read,January,,,,,Yes,Spiritual Classic,No,High,High,,
Ashtavakra Gita,,Swami Chinmayananda,Male,India,Sanskrit,Swami Chinmayananda,1970,320,,,Non-fiction,Hindu Scriptures,Philosophy,Commentary,Adult,No,,,Yes,Advaita; Self; Liberation,Philosophical; Reflective,Scripture Commentary,Ashtavakra Gita; Vedanta,No,No,Secondary,Hindu Scriptures,Philosophy Recommendation,Advanced,Bhagavad Gita; Yoga Sutras of Patanjali,A profound Advaita text exploring the nature of the Self.,Swami Chinmayananda's commentary makes this philosophical classic approachable.,One of Hinduism's deepest philosophical texts.,Essential Vedanta Books,July,,,,,Yes,Spiritual Classic,No,Moderate,High,,
Ashoka: The Search for India's Lost Emperor,,Charles Allen,Male,United Kingdom,English,,2012,432,,,Non-fiction,Indian History,Biography,Ancient History,Adult,No,,,Yes,Ashoka; Mauryan Empire; Buddhism,Informative; Engaging,Historical Biography,Ashoka; Ancient India,No,No,Secondary,Indian History Essentials,History Recommendation,Intermediate,India: A History; Early India,A fascinating biography of one of India's greatest emperors.,Charles Allen traces Ashoka's life through archaeology and history.,Meet the emperor who changed India forever.,Best Books on Emperor Ashoka,August,,,,,Yes,Bestseller,No,Moderate,High,,
Ashes to Ashes,,Tami Hoag,Female,United States,English,,1999,560,,,Fiction,Crime Thriller,Mystery,Serial Killer Thriller,Adult,Yes,Kovac & Liska,2,No,Murder; Investigation; Crime,Dark; Suspenseful,Detective Duo,Crime Thriller; Mystery,Yes,Yes,Primary,Crime Thrillers,Thriller Recommendation,Intermediate,The Kind Worth Killing; Never Lie,A gripping serial killer thriller packed with suspense.,Tami Hoag delivers a tense investigation with memorable detectives.,Every clue leads somewhere darker.,Best Crime Thrillers,October,,,,,Yes,Bestseller,No,Moderate,Moderate,,
Animal Farm,,George Orwell,Male,United Kingdom,English,,1945,112,,,Fiction,Classic Literature,Political Satire,Allegory,Adult,No,,,Yes,Power; Corruption; Revolution,Satirical; Thought-provoking,Talking Animals,Classics; Political Fiction,No,No,Secondary,Classic Literature,Classic Recommendation,Beginner,1984; Brave New World,A timeless political satire that remains remarkably relevant.,George Orwell's allegorical masterpiece critiques power and corruption.,All animals are equal... or are they?,Classics That Still Matter Today,January,,,,,Yes,Modern Classic,Multiple Adaptations,Extremely High,Extremely High,,
Angels & Demons,,Dan Brown,Male,United States,English,,2000,616,,,Fiction,Thriller,Mystery,Conspiracy Thriller,Adult,Yes,Robert Langdon,1,No,Religion; Science; Secret Societies,Fast-paced; Suspenseful,Treasure Hunt,Dan Brown; Robert Langdon,No,No,Secondary,Robert Langdon Series,Thriller Recommendation,Beginner,The Da Vinci Code; The Lost Symbol,"A thrilling race against time through science, religion and history.",Dan Brown's Robert Langdon debut remains one of his most exciting novels.,The conspiracy starts here.,Dan Brown Books in Order,September,,,,,Yes,International Bestseller,Film Adaptation,Very High,Very High,,
Ancient India,,R. C. Majumdar,Male,India,English,,1977,400,,,Non-fiction,Indian History,Ancient History,Academic History,Adult,No,,,Yes,Civilization; Culture; Ancient India,Informative; Scholarly,Historical Survey,Ancient India; Indian History,No,No,Secondary,Indian History Essentials,History Recommendation,Advanced,Early India; The Wonder That Was India,A respected overview of ancient India's political and cultural history.,R. C. Majumdar's work remains a valuable historical reference.,Looking beyond mythology into history.,Essential Books on Ancient India,August,,,,,Yes,Academic Classic,No,Low,Moderate,,
An Atlas of Impossible Longing,,Anuradha Roy,Female,India,English,,2008,304,,,Fiction,Literary Fiction,Historical Fiction,Family Saga,Adult,No,,,Yes,Love; History; Family,Atmospheric; Reflective,Generational Story,Indian Literary Fiction,Yes,Yes,Primary,Indian Literary Fiction,Literary Recommendation,Intermediate,Latitudes of Longing; The God of Small Things,"A beautifully written novel about family, history and longing.",Anuradha Roy blends intimate storytelling with India's changing landscape.,Some places never leave your heart.,Beautiful Indian Literary Fiction,June,,,,,Yes,Critically Acclaimed,No,Moderate,High,,
Ahalya (The Sati Series I),,Koral Das Gupta,Female,India,English,,2016,220,,,Fiction,Mythological Fiction,Historical Fiction,Mythology Retelling,Adult,Yes,The Sati Series,1,No,Ahalya; Redemption; Womanhood,Emotional; Reflective,Forgotten Women,Ahalya; Indian Mythology,Yes,Yes,Primary,Women of Indian Mythology,Mythology Recommendation,Beginner,Ahalya's Awakening; Sita's Sister,A compassionate retelling of one of mythology's most misunderstood women.,Koral Das Gupta begins the acclaimed Sati Series with Ahalya's story.,Was Ahalya ever truly heard?,Forgotten Women of Indian Mythology,July,,,,,Yes,Critically Acclaimed,No,Moderate,High,,
A Man Called Ove,,Fredrik Backman,Male,Sweden,Swedish,Henning Koch,2012,337,,,Fiction,Contemporary Fiction,Literary Fiction,Feel-good Fiction,Adult,No,,,Yes,Grief; Friendship; Community,Heartwarming; Emotional,Grumpy Hero,Feel-good; Swedish Literature,No,No,Secondary,Feel-good Fiction,Emotional Read Recommendation,Beginner,My Friends; The Reading List,A heartwarming novel proving it's never too late for friendship.,Fredrik Backman's beloved story balances humour with heartbreak.,The grumpiest man might steal your heart.,Feel-good Books That Make You Cry,February,,,,,Yes,International Bestseller,Film Adaptation,Extremely High,Extremely High,,
A Fine Balance,,Rohinton Mistry,Male,India,English,,1995,624,,,Fiction,Literary Fiction,Historical Fiction,Family Saga,Adult,No,,,Yes,Emergency; Poverty; Friendship,Emotional; Powerful,Interwoven Lives,Indian Literary Fiction,No,No,Secondary,Indian Literary Classics,Literary Recommendation,Advanced,The Lives of Others; Half the Night Is Gone,A sweeping masterpiece set during India's Emergency.,Rohinton Mistry captures hope and suffering with extraordinary compassion.,One of India's greatest novels.,Indian Literary Classics Everyone Should Read,August,,,,,Yes,Oprah Book Club Pick,No,High,Very High,,
A Burning,,Megha Majumdar,Female,India,English,,2020,304,,,Fiction,Literary Fiction,Political Fiction,Contemporary Fiction,Adult,No,,,Yes,Justice; Class; Politics,Fast-paced; Emotional,Multiple POV,Contemporary Indian Fiction,Yes,Yes,Primary,Contemporary Indian Fiction,Literary Recommendation,Beginner,Serious Men; The White Tiger,"A sharp novel exploring justice, class and politics in modern India.","Megha Majumdar's debut is fast-paced, intelligent and unforgettable.",One accusation can destroy everything.,Contemporary Indian Fiction,April,,,,,Yes,International Bestseller,No,High,High,,
"84, Charing Cross Road",,Helene Hanff,Female,United States,English,,1970,112,,,Non-fiction,Memoir,Letters,Epistolary,Adult,No,,,Yes,Books; Friendship; Literature,Warm; Nostalgic,Letter Exchange,Books About Books,Yes,Yes,Primary,Books About Books,Book Lover Recommendation,Beginner,The Reading List; Days at the Morisaki Bookshop,A charming collection of letters celebrating books and friendship.,A timeless love letter to readers and independent bookshops.,Every book lover should read this once.,Books About Bookshops & Reading,April,,,,,Yes,Modern Classic,Film Adaptation,High,Very High,,
1984,,George Orwell,Male,United Kingdom,English,,1949,328,,,Fiction,Dystopian Fiction,Classic Literature,Political Fiction,Adult,No,,,Yes,Surveillance; Freedom; Totalitarianism,Dark; Thought-provoking,Oppressive Government,Dystopian Classics,No,No,Secondary,Dystopian Classics,Classic Recommendation,Intermediate,Animal Farm; Fahrenheit 451,One of the greatest dystopian novels ever written.,George Orwell's vision of surveillance and authoritarianism remains chillingly relevant.,Big Brother is still watching.,Dystopian Classics Everyone Should Read,January,,,,,Yes,Modern Classic,Multiple Adaptations,Extremely High,Extremely High,,
Origin,,Dan Brown,Male,United States,English,,2017,461,,,Fiction,Thriller,Mystery,Conspiracy Thriller,Adult,Yes,Robert Langdon,5,No,Science; Religion; Technology,Fast-paced; Suspenseful,Treasure Hunt,Dan Brown; Robert Langdon,No,No,Secondary,Robert Langdon Series,Thriller Recommendation,Beginner,Angels & Demons; Inferno,"Dan Brown explores science, religion and humanity's greatest questions.",Another addictive Robert Langdon adventure packed with puzzles.,What if science answered humanity's biggest question?,Best Dan Brown Books,September,,,,,Yes,International Bestseller,No,Very High,Very High,,
The Lost Symbol,,Dan Brown,Male,United States,English,,2009,528,,,Fiction,Thriller,Mystery,Conspiracy Thriller,Adult,Yes,Robert Langdon,3,No,Freemasonry; Secrets; History,Fast-paced; Suspenseful,Treasure Hunt,Dan Brown; Robert Langdon,No,No,Secondary,Robert Langdon Series,Thriller Recommendation,Beginner,Angels & Demons; Origin,"A mystery centred around Freemasonry, hidden knowledge and history.",Robert Langdon uncovers secrets buried within Washington D.C.,History hides its biggest secrets in plain sight.,Robert Langdon Books Ranked,September,,,,,Yes,International Bestseller,TV Adaptation,High,High,,
Digital Fortress,,Dan Brown,Male,United States,English,,1998,384,,,Fiction,Techno Thriller,Suspense,Cyber Thriller,Adult,No,,,Yes,Cryptography; NSA; Technology,Fast-paced; Tense,Hacker Thriller,Techno Thriller; Cyber Crime,No,Yes,Secondary,Tech Thrillers,Thriller Recommendation,Beginner,Project Hail Mary; Shadow Play,Dan Brown's techno-thriller about cryptography and government surveillance.,"A fast-paced story of codebreaking, secrets and impossible choices.","Before AI thrillers, there was this.",Best Techno Thrillers,October,,,,,Yes,Bestseller,No,Moderate,Moderate,,
